Chromosome,Start,End,Replicate,CloneID,Orientation,Virus,Treatment,Start_b,End_b,Strand,GeneID,GeneName,TranscriptID,TranscriptName,Distance,Distance_to_TSS_bp
chr12,97330572,97330573,2,12_97330572,+,WT,Dig0,97306354,97306355,+,ENSG00000139350.7,NEDD1,ENST00000457368.2,NEDD1-005,24218,24218
chr12,122828954,122828955,1,12_122828954,-,WT,Dig0,122828591,122828592,-,ENSG00000130779.15,CLIP1,ENST00000514271.2,CLIP1-011,363,363
chr12,123603849,123603850,2,12_123603849,+,WT,Dig400,123595042,123595043,-,ENSG00000090975.8,PITPNM2,ENST00000280562.5,PITPNM2-001,8807,8807
chr13,20625496,20625497,3,13_20625496,+,WT,Dig0,20640718,20640719,+,ENSG00000121741.12,ZMYM2,ENST00000494061.2,ZMYM2-007,15222,15222
chr13,51973293,51973294,2,13_51973293,-,WT,Dig400,51959400,51959401,-,ENSG00000102786.10,INTS6,ENST00000490542.1,INTS6-006,13893,13893
chr14,39778771,39778772,1,14_39778771,+,N74D,Dig400,39782605,39782606,+,ENSG00000150527.12,CTAGE5,ENST00000556593.1,CTAGE5-012,3834,3834
chr14,56748203,56748204,3,14_56748203,+,N74D,Dig400,56777479,56777480,-,ENSG00000259483.1,RP11-930O11.2,ENST00000560296.1,RP11-930O11.2-001,29276,29276
chr15,59001494,59001495,1,15_59001494,-,WT,Dig0,58996353,58996354,-,ENSG00000199730.1,RN7SKP95,ENST00000362860.1,RN7SKP95-201,5141,5141
chr15,74503059,74503060,3,15_74503059,-,WT,Dig0,74502046,74502047,-,ENSG00000137868.14,STRA6,ENST00000535552.1,STRA6-008,1013,1013
chr15,100585772,100585773,3,15_100585772,+,WT,Dig400,100614395,100614396,-,ENSG00000252957.1,RNA5SP402,ENST00000517148.1,RNA5SP402-201,28623,28623
chr16,1760822,1760823,3,16_1760822,-,WT,Dig0,1764209,1764210,-,ENSG00000261399.1,LA16c-329F2.1,ENST00000570022.1,LA16c-329F2.1-001,3387,3387
chr16,14668728,14668729,3,16_14668728,+,WT,Dig0,14658932,14658933,-,ENSG00000140694.12,PARN,ENST00000564904.1,PARN-015,9796,9796
chr16,18931057,18931058,2,16_18931057,+,WT,Dig0,18937072,18937073,-,ENSG00000157106.12,SMG1,ENST00000569122.1,SMG1-013,6015,6015
chr16,65846355,65846356,3,16_65846355,-,WT,Dig0,65897687,65897688,-,ENSG00000260695.1,RP11-513N24.1,ENST00000568767.1,RP11-513N24.1-001,51332,51332
chr16,88850628,88850629,1,16_88850628,+,WT,Dig0,88851619,88851620,-,ENSG00000103335.15,PIEZO1,ENST00000301015.9,PIEZO1-001,991,991
chr16,89837090,89837091,2,16_89837090,-,WT,Dig0,89836991,89836992,-,ENSG00000187741.10,FANCA,ENST00000561667.1,FANCA-018,99,99
chr17,4848665,4848666,1,17_4848665,+,WT,Dig0,4847675,4847676,+,ENSG00000108523.11,RNF167,ENST00000574548.1,RNF167-015,990,990
chr17,55482373,55482374,2,17_55482373,+,WT,Dig400,55484173,55484174,+,ENSG00000153944.6,MSI2,ENST00000579205.1,MSI2-011,1800,1800
chr17,73047737,73047738,2,17_73047737,-,WT,Dig0,73044938,73044939,+,ENSG00000180901.6,KCTD2,ENST00000577516.1,KCTD2-009,2799,2799
chr17,2344545,2344546,3,17_2344545,-,WT,Dig0,2323063,2323064,-,ENSG00000127804.8,METTL16,ENST00000574623.1,METTL16-006,21482,21482
chr17,42519018,42519019,2,17_42519018,-,WT,Dig0,42523290,42523291,-,ENSG00000186566.7,GPATCH8,ENST00000586265.1,GPATCH8-007,4272,4272
chr17,57778404,57778405,1,17_57778404,-,WT,Dig0,57778786,57778787,-,ENSG00000141378.13,PTRH2,ENST00000470557.2,PTRH2-003,382,382
chr17,73358362,73358363,1,17_73358362,-,WT,Dig0,73369817,73369818,-,ENSG00000264853.1,RP11-16C1.2,ENST00000578539.1,RP11-16C1.2-001,11455,11455
chr18,23655415,23655416,2,18_23655415,-,N74D,Dig400,23658350,23658351,-,ENSG00000141380.9,SS18,ENST00000580003.1,SS18-012,2935,2935
chr18,70525607,70525608,1,18_70525607,+,N74D,Dig400,70520617,70520618,-,ENSG00000263750.1,MIR548AV,ENST00000583040.1,MIR548AV-201,4990,4990
chr19,28548506,28548507,1,19_28548506,+,WT,Dig400,28556174,28556175,+,ENSG00000267509.1,CTD-2043I16.1,ENST00000590229.1,CTD-2043I16.1-002,7668,7668
chr19,48748999,48749000,1,19_48748999,-,WT,Dig0,48752871,48752872,-,ENSG00000105483.12,CARD8,ENST00000517778.1,CARD8-012,3872,3872
chr19,56825464,56825465,3,19_56825464,-,WT,Dig0,56825882,56825883,-,ENSG00000131848.5,ZSCAN5A,ENST00000588955.1,ZSCAN5A-009,418,418
chr20,15069913,15069914,1,20_15069913,+,N74D,Dig400,15003498,15003499,+,ENSG00000201180.1,RNU6-115P,ENST00000364310.1,RNU6-115P-201,66415,66415
chr20,56429040,56429041,3,20_56429040,+,WT,Dig0,56470450,56470451,+,ENSG00000263453.1,MIR4532,ENST00000582082.1,MIR4532-201,41410,41410
chr20,62848587,62848588,2,20_62848587,+,WT,Dig0,62887094,62887095,+,ENSG00000203880.7,PCMTD2,ENST00000369758.4,PCMTD2-002,38507,38507
chr20,55466203,55466204,3,20_55466203,-,N74D,Dig400,55361143,55361144,-,ENSG00000207158.1,RNU6-929P,ENST00000384429.1,RNU6-929P-201,105060,105060
chr21,19166046,19166047,2,21_19166046,-,N74D,Dig400,19165805,19165806,+,ENSG00000244676.1,AL109761.5,ENST00000428689.1,AL109761.5-001,241,241
chr22,21931624,21931625,1,22_21931624,-,WT,Dig0,21922026,21922027,+,ENSG00000185651.10,UBE2L3,ENST00000545681.1,UBE2L3-202,9598,9598
chr22,40870351,40870352,2,22_40870351,+,WT,Dig400,40859438,40859439,-,ENSG00000196588.10,MKL1,ENST00000407029.1,MKL1-003,10913,10913
chr22,40939857,40939858,2,22_40939857,-,WT,Dig400,40929815,40929816,-,ENSG00000196588.10,MKL1,ENST00000422851.1,MKL1-006,10042,10042
chrX,64212211,64212212,2,X_64212211,+,N74D,Dig400,64196413,64196414,-,ENSG00000126970.11,ZC4H2,ENST00000488608.1,ZC4H2-003,15798,15798
chrX,76247279,76247280,2,X_76247279,+,N74D,Dig0,76225926,76225927,-,ENSG00000207995.1,MIR325,ENST00000385260.1,MIR325-201,21353,21353
chrX,82889546,82889547,2,X_82889546,-,N74D,Dig400,82815320,82815321,-,ENSG00000236870.2,RP1-223D17.1,ENST00000422893.2,RP1-223D17.1-001,74226,74226
